remitente v (relacionado  ID);Detalle
140e81fe-aa18-68dc-66ae-57464b6afebd; SOLICITA REEMBOLSO DE BECA DE ESTUDIOS, CORRESPONDIENTE AL MES DE JULIO DEL 2016. KATHERINE  GRISSEL  HUANCA UMASI.
5303c396-82cb-4e24-9cce-5612dce48db1;SOLICITA REEMBOLSO DE  BECA DE ESTUDIOS  CORRESPONDIENTE A MES DE MARZO DEL 2016. VLADIMIR  LENIN CCORAHUA  QUISPE.
bb415e94-8d26-fbb1-80b5-583dffe1e85e;SOLICITA  OPORTUNIDAD  LABORAL PARA UN CAMION DE TRANSPORTE DE CONCENTRADO DEL SRA.  ROXANA  ALVAREZ  HUISA 
69b8d663-fd9c-2efa-6e68-561d5c1672e2;"SOLICITA A GERENCIA GENERAL, 2 ALPACAS DE PREMIO PARA ""I CONCURSO DE CABA•AS SALUDABLES, MANEJO ALPAQUERO Y PADREAS PATACCOLLANA 2015"" 20 OCT AL 5 NOV 2015, PARA INCENTIVAR AL CRIADOR QUE TENGA UN MANEJO EN LOS RECURSOS H÷DRICOS, PASTOS, BOFEDALES, VIVIENDAS ADECUADAS Y EL MANEJO DE CAMêLIDOS ALTO ANDINOS"
3fbffc29-f4b8-3cd6-f38e-5c412a2a19fb;"SOLICITA  CUMPLIMIENTO DE  ENTREGA DE SEMILLA  DE PASTO A LOS  COMUNEROS FALTANTES.
REMITE  LISTA DE BENEFICIARIOS."
e415a3cb-d43a-0c92-642c-55dd310f00a6;REIERA SOLICITUD REUNION PARA SOLUCI‡N PROBLEMATICA ZONA DE INFLUENCIA DIRECTA E INDIRECTA DE LOS TERRENOS DE LA ASOC PRODUC DE GANADO VACUNO APU CCOLLANA SECTOR AGRARIO CC ALTO AYRACCOLLANA, MENCIONA PRESENT‡ CARTA NOTARIAL 8 JULIO 2014, OFICIO 9 OCTUBRE 2014 SIN TENER RESPUESTA
bfc498ac-c43d-8db1-f686-56030eacdb33;BECA MILNER NISWANDER UMASI LLAVE - ABRIL 2015
6a83e116-fb8c-fa3b-b06d-564e915b1b25;SOLICITA  APOYO CON FINANCIAMIENTO CON PREMIOS PARA LA III FERIA  SECTORIAL  2018.  LLEVARSE LOS DIAS 28  Y 29 DE SEPTIEMBRE DEL PRESENTE A•O.
90aa50aa-9877-5466-4465-5564955db14b;PRESIDENTE. INFORMA SOBRE LA ELECCION DE LA NUEVA  JUNTA DIRECTIVA 2016, DE LA  COMISION DE SEGUIMIENTO DE CONVENIO E COOPERACION DE DESARROLLO SUSCRITO LA MINERA Y LA COMUNIDAD.
e8c508d8-d19c-e830-0185-5853178ac52a;SOLICITA RENOVACION  DE CONTRATO EN EL SERVICIO  DE TRANSPORTE  DE CONCENTRADO  DE  COBRE  EN LA   RUTA  ANTAPACCAY - MATARANI  PERIODO  2020.
98534c89-b4a3-337a-b84e-586d8423d433;REMITE  DOCUMENTO ADICIONAL  PARA EL PROYECTO DE  SANEAMIENTO BASICO 
fe6508ba-bda8-ba6b-eadf-55808535d695;SOLICITA  TRANSFERENCIA  DE FONDOS  A  NOMBRE  DE LA  MUNICIPALIDAD  DISTRITAL  DE  PALLPATA  ASI MISMO INFORMA QUE LOS  EXPEDIENTES TECNICOS DE  INSTITUCIONES EDUCATIVAS RURALES DE LA PROVINCIA DE ESPINAR. NO PRESENTAN  OBSERVACIONES.
1de2648c-2f4d-c6ba-7aee-5876aac821c5;SOLICITA   REUNION SOBRE EL CUMPLIMIENTO  DEL  BONO DE  PAZ SOCIAL,  ENTRE LA  COMUNIDAD  Y LA  EMPRESA ANTAPACCAY,  DICHA  REUNION SUGIEREN  PARA EL DIA  04 DE ABRIL DEL PRESENTE  A•O.
7d4d198a-073e-2cf4-f202-55f042a97dd9;SOLICITA REEMBOLSO DE  BECA MES DE SET, OCT, NOV Y DIC DEL 2015. MARIBEL MAGA•O CARLOS.
be78efa8-a574-35fd-20ec-5b7e3ce4ccfa;REMITE EL INFORME  DE ACTIVIDADES  CORRESPONDIENTE AL MES  10-CM.
e82002b5-3481-0f86-744f-5564952aff06;SE PASO A MARIA CECILIA LUNA PARA GCIA GRAL
2525f4d8-5489-5ef2-1edc-5564954a3351;SOLICITA DONACION DE  UN CAMION DE LE•A.
